标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
我膨胀了！居然敢为300人做饭！,绵羊料理,https://www.bilibili.com/video/BV1gBp7enES8,426.8万,1.0万,今天的食材：80斤肉！话不多说，直接开干！,28.6万,22.7万,28.6万,6215,"['bilibili食界杯', '美食', '美食制作', '学校', '美食制作', '公益', '厨艺', '生活', 'vlog', '食堂']",2024-09-10 17:30:00
《原神》基尼奇角色PV——「生意」,原神,https://www.bilibili.com/video/BV1Mj4zeSEqW,175.8万,6818,"虽然阿乔经常对基尼奇的生计指指点点，但它打心底认为，以其伟大圣龙库胡勒阿乔的身份而言，其实自己不应该对这类鸡毛蒜皮的小事如此上心。
但如果不多出点馊主意，这皮硬的小子要怎么才能快点完蛋呢？

中文CV：
基尼奇——斑马
「伟大圣龙（自称）」库胡勒阿乔——弭洋

日文CV：
基尼奇——杉山纪彰
「伟大圣龙（自称）」库胡勒阿乔——竹内顺子

《原神》bilibili服下载地址：https://www.biligame.com/detail/?id=103496",19.9万,4.2万,19.9万,1.7万,"['游戏', '手机游戏', '基尼奇', '米哈游', 'miHoYo', '原神', '原神5.0']",2024-09-12 12:00:00
中秋节礼盒测测测！,杜海皇,https://www.bilibili.com/video/BV1zw4nejEXm,112.8万,1.6万,"希望各位观众老爷们喜欢这期视频！
喜欢记得点赞/投币/收藏/分享！",11.5万,5.2万,11.5万,2164,"['搞笑研究所', '生活', '搞笑', '搞笑', '奇葩', '逗比', '幽默', '生活', '测评', '娱乐', '高能', '搞笑研究所2024 6.0', '杜海皇']",2024-09-12 18:20:03
纯黑《黑神话：悟空》全程无伤攻略解说 第六期,-纯黑-,https://www.bilibili.com/video/BV1cx4WetEVT,81.5万,1.2万,"ED非官方部分素材出处：BV1e7421R7sR非全收集攻略，但每一期开始前会把之前落下的东西收集全。为了我的心理健康，不会再做构式BOSS了！莲眼是最后一个！（除非和主线有很大关联）
一般情况下会根据游戏背景选择会用哪种语言的歌曲做片尾，但奈何自己中文歌听的太少（没有说中文歌不好的意思，死宅一般只听ACG相关歌曲导致的），只能选兼容性较强的英文歌了。制作片尾需要大量时间精力，已经做好的不可能再更换。",11.4万,12.7万,11.4万,3218,"['游戏', '单机游戏', '纯黑', '解说', '无伤', '悟空', '攻略', '黑神话', '不白', '不能', '寅虎', '辰龙']",2024-09-13 12:00:00
特别节目——国足公司,大鹏懂个球儿,https://www.bilibili.com/video/BV1sr4BeCE1w,129.2万,4093,笑梗不笑人，不喜请轻喷。,10.2万,7.2万,10.2万,2.3万,"['运动', '足球', '国足', '中国足球', '体育', '足球', '中国男足']",2024-09-11 11:10:42
“我们都是小怪兽，总有一天会…”是上杉绘梨衣唱了《最后的旅行》【龙族：卡塞尔之门公测主题曲】,鹿火CAVY,https://www.bilibili.com/video/BV17y4ae7Ezz,294.5万,2587,"“命运十字路口，谢谢你曾停留。”
“站在十字路口，再回首，世界如此温柔。”
是录歌时眼眶湿了一遍又一遍的一首555
曾为我们带来无数感动的龙族，时隔多年后得到重生！
9月12日，《龙族：卡塞尔之门》公测在即，
明天上午十点，我们准时相约卡塞尔学院！见证小怪兽们的名字再度“手牵手”！

—————————————————————————————
游戏《龙族：卡塞尔之门》主题曲
歌曲：《最后的旅行》
作词：陌离【浮声未歇】
作曲：164
演唱：鹿火Cavy
编曲：忒格路
制作人：刘鑫磊
吉他：颖琴思
Bass：颖琴思
和声：漆柚
弦乐：国际首席爱乐乐团
音频编辑：刘鑫磊/漆柚
混音：Alex
母带：Alex",8.2万,2.4万,8.2万,1.0万,"['音乐', '翻唱', '上杉绘梨衣', '绘梨衣', '龙族', '二次元', 'cos', '龙族：卡塞尔之门', '鹿火']",2024-09-11 10:00:00
这回对味儿了吧！ง •̀_•́)ง,陕北说书艺人熊竹英,https://www.bilibili.com/video/BV1C1pseZEhN,181.5万,1086,-,29.3万,3.7万,29.3万,7603,"['音乐', '演奏', '民乐', '传统文化', '《黑神话•悟空》', '陕北说书熊竹英', '黑神话里的陕北说书人', '三弦', '非物质文化遗产', 'steam游戏']",2024-09-10 15:53:24
【年度巨制】琪计划：出击【2024崩坏3同人大电影】,特效小哥studio,https://www.bilibili.com/video/BV1UxpEe7Ej3,218.8万,2.0万,"琪亚娜！出击！
祝崩坏3八周年生日快乐！",18.8万,12.6万,18.8万,2.8万,"['崩坏3周年环游记', '游戏', '手机游戏', '游戏', '手机游戏', '琪亚娜', '崩坏3', '崩坏3同人大电影', '孑遗千星', '崩坏3八周年庆典', '感动', '薇塔']",2024-09-10 12:00:00
《清风小蛇》你就是穿越大军中那0.0001%的非人类！,小清风漫谈,https://www.bilibili.com/video/BV1v84Ye1Evf,274.2万,473,Not Found,2.0万,6255,2.0万,51,"['UP！原创动画', '动画', '同人·手书', '原创动画', '小蛇', 'UP！原创动画3.0超时空高校季']",2024-09-10 21:24:55
究极的海马传说【水无月菌】,水无月菌,https://www.bilibili.com/video/BV1ma4seGEMM,64.0万,3567,感谢观看！！！喜欢记得三连点个关注！！！,9.7万,7.2万,9.7万,9061,"['游戏', '桌游棋牌', '娱乐', '实况解说', '游戏王', '桌游棋牌', '游戏王大师决斗', '游戏王 Master Duel', '卡牌游戏', '大师决斗']",2024-09-13 20:00:00
